president,enddate,Approve,Disapprove
Donald Trump,1/22/2017,45.686784,38.055805
Donald Trump,1/22/2017,45.861441,43.539189
Donald Trump,1/24/2017,43.451563,43.780389
Donald Trump,1/23/2017,45.861441,44.539189
Donald Trump,1/24/2017,46.861441,43.539189
Donald Trump,1/25/2017,43.651563,44.380389
Donald Trump,1/24/2017,51.608387,44.626013
Donald Trump,1/25/2017,37.750369,42.742388
Donald Trump,1/25/2017,41.948636,36.76658
Donald Trump,1/25/2017,46.861441,43.539189
Donald Trump,1/24/2017,43.608485,44.209337
Donald Trump,1/25/2017,53.608387,42.626013
Donald Trump,1/26/2017,43.951563,44.980389
Donald Trump,1/26/2017,45.861441,46.539189
Donald Trump,1/27/2017,45.851563,44.080389
Donald Trump,1/26/2017,49.608387,46.626013
Donald Trump,1/27/2017,42.861441,48.539189
Donald Trump,1/28/2017,46.751563,44.580389
Donald Trump,1/29/2017,49.551563,43.680389
Donald Trump,1/28/2017,48.686784,42.055805
Donald Trump,1/28/2017,42.861441,49.539189
Donald Trump,1/29/2017,47.608387,48.626013
Donald Trump,1/30/2017,45.608387,50.626013
Donald Trump,1/30/2017,48.151563,44.380389
Donald Trump,1/30/2017,45.613321,49.248116
Donald Trump,1/29/2017,43.861441,48.539189
Donald Trump,1/31/2017,46.651563,45.480389
Donald Trump,1/30/2017,43.861441,49.539189
Donald Trump,1/31/2017,43.861441,50.539189
Donald Trump,1/31/2017,47.608387,48.626013
Donald Trump,2/1/2017,46.351563,46.480389
Donald Trump,2/2/2017,43.539711,47.592009
Donald Trump,1/31/2017,43.948636,45.76658
Donald Trump,2/2/2017,46.651563,45.980389
Donald Trump,2/1/2017,47.608387,48.626013
Donald Trump,1/31/2017,46.608485,49.209337
Donald Trump,2/1/2017,43.861441,50.539189
Donald Trump,2/3/2017,46.251563,46.280389
Donald Trump,2/2/2017,43.727772,51.495022
Donald Trump,2/2/2017,48.608387,47.626013
Donald Trump,2/2/2017,43.861441,50.539189
Donald Trump,2/3/2017,44.861441,48.539189
Donald Trump,2/5/2017,43.613321,51.248116
Donald Trump,2/4/2017,46.551563,46.280389
Donald Trump,2/2/2017,41.37161,47.419838
Donald Trump,2/4/2017,47.686784,44.055805
Donald Trump,2/4/2017,43.948636,48.76658
Donald Trump,2/5/2017,48.851563,45.380389
Donald Trump,2/4/2017,43.743003,44.945964
Donald Trump,2/4/2017,42.861441,51.539189
Donald Trump,2/5/2017,47.608387,48.626013
Donald Trump,2/6/2017,48.451563,46.080389
Donald Trump,2/6/2017,43.750369,49.742388
Donald Trump,2/6/2017,47.608387,48.626013
Donald Trump,2/5/2017,42.861441,50.539189
Donald Trump,2/5/2017,43.948636,47.76658
Donald Trump,2/6/2017,44.19239,49.503737
Donald Trump,2/6/2017,41.948636,49.76658
Donald Trump,2/7/2017,48.851563,46.180389
Donald Trump,2/6/2017,42.861441,52.539189
Donald Trump,2/8/2017,48.851563,46.180389
Donald Trump,2/7/2017,47.608387,48.626013
Donald Trump,2/7/2017,41.948636,49.76658
Donald Trump,2/6/2017,46.768815,50.050052
Donald Trump,2/7/2017,40.948636,49.76658
Donald Trump,2/7/2017,43.861441,50.539189
Donald Trump,2/8/2017,47.608387,48.626013
Donald Trump,2/8/2017,39.948636,51.76658
Donald Trump,2/8/2017,43.861441,50.539189
Donald Trump,2/9/2017,49.151563,44.980389
Donald Trump,2/9/2017,42.861441,50.539189
Donald Trump,2/8/2017,42.608485,53.209337
Donald Trump,2/10/2017,48.051563,46.180389
Donald Trump,2/9/2017,41.948636,51.76658
Donald Trump,2/9/2017,46.608387,49.626013
Donald Trump,2/10/2017,41.861441,51.539189
Donald Trump,2/12/2017,43.613321,52.248116
Donald Trump,2/11/2017,48.051563,46.080389
Donald Trump,2/12/2017,47.651563,46.980389
Donald Trump,2/12/2017,46.608387,49.626013
Donald Trump,2/12/2017,41.162813,52.477711
Donald Trump,2/10/2017,48.686784,46.055805
Donald Trump,2/11/2017,40.861441,53.539189
Donald Trump,2/13/2017,46.608387,49.626013
Donald Trump,2/12/2017,40.948636,51.76658
Donald Trump,2/12/2017,40.861441,52.539189
Donald Trump,2/13/2017,47.651563,47.080389
Donald Trump,2/14/2017,46.651563,49.180389
Donald Trump,2/13/2017,42.948636,48.76658
Donald Trump,2/13/2017,43.746612,51.481791
Donald Trump,2/13/2017,40.861441,52.539189
Donald Trump,2/13/2017,46.012924,47.485387
Donald Trump,2/14/2017,43.948636,48.76658
Donald Trump,2/14/2017,40.861441,51.539189
Donald Trump,2/15/2017,47.151563,48.980389
Donald Trump,2/14/2017,38.948636,54.76658
Donald Trump,2/14/2017,47.608387,48.626013
Donald Trump,2/15/2017,40.861441,52.539189
Donald Trump,2/16/2017,47.251563,48.780389
Donald Trump,2/15/2017,49.608387,46.626013
Donald Trump,2/15/2017,41.948636,51.76658
Donald Trump,2/16/2017,38.861441,54.539189
Donald Trump,2/17/2017,42.613321,52.248116
Donald Trump,2/16/2017,49.608387,46.626013
Donald Trump,2/16/2017,37.948636,52.76658
Donald Trump,2/17/2017,46.451563,49.680389
Donald Trump,2/18/2017,45.651563,50.680389
Donald Trump,2/19/2017,40.613321,53.248116
Donald Trump,2/17/2017,43.948636,49.76658
Donald Trump,2/19/2017,41.769187,50.41321
