enddate,approval_type,rate,year
2017-01-22,approve,45.686784,2017
2017-01-22,disapprove,38.055805,2017
2017-01-22,approve,45.861441,2017
2017-01-22,disapprove,43.539189,2017
2017-01-24,approve,43.451563,2017
2017-01-24,disapprove,43.780389,2017
2017-01-23,approve,45.861441,2017
2017-01-23,disapprove,44.539189,2017
2017-01-24,approve,46.861441,2017
2017-01-24,disapprove,43.539189,2017
2017-01-25,approve,43.651563,2017
2017-01-25,disapprove,44.380389,2017
2017-01-24,approve,51.608387,2017
2017-01-24,disapprove,44.626013,2017
2017-01-25,approve,37.750369,2017
2017-01-25,disapprove,42.742388,2017
2017-01-25,approve,41.948636,2017
2017-01-25,disapprove,36.76658,2017
2017-01-25,approve,46.861441,2017
2017-01-25,disapprove,43.539189,2017
2017-01-24,approve,43.608485,2017
2017-01-24,disapprove,44.209337,2017
2017-01-25,approve,53.608387,2017
2017-01-25,disapprove,42.626013,2017
2017-01-26,approve,43.951563,2017
2017-01-26,disapprove,44.980389,2017
2017-01-26,approve,45.861441,2017
2017-01-26,disapprove,46.539189,2017
2017-01-27,approve,45.851563,2017
2017-01-27,disapprove,44.080389,2017
2017-01-26,approve,49.608387,2017
2017-01-26,disapprove,46.626013,2017
2017-01-27,approve,42.861441,2017
2017-01-27,disapprove,48.539189,2017
2017-01-28,approve,46.751563,2017
2017-01-28,disapprove,44.580389,2017
2017-01-29,approve,49.551563,2017
2017-01-29,disapprove,43.680389,2017
2017-01-28,approve,48.686784,2017
2017-01-28,disapprove,42.055805,2017
2017-01-28,approve,42.861441,2017
2017-01-28,disapprove,49.539189,2017
2017-01-29,approve,47.608387,2017
2017-01-29,disapprove,48.626013,2017
2017-01-30,approve,45.608387,2017
2017-01-30,disapprove,50.626013,2017
2017-01-30,approve,48.151563,2017
2017-01-30,disapprove,44.380389,2017
2017-01-30,approve,45.613321,2017
2017-01-30,disapprove,49.248116,2017
2017-01-29,approve,43.861441,2017
2017-01-29,disapprove,48.539189,2017
2017-01-31,approve,46.651563,2017
2017-01-31,disapprove,45.480389,2017
2017-01-30,approve,43.861441,2017
2017-01-30,disapprove,49.539189,2017
2017-01-31,approve,43.861441,2017
2017-01-31,disapprove,50.539189,2017
2017-01-31,approve,47.608387,2017
2017-01-31,disapprove,48.626013,2017
2017-02-01,approve,46.351563,2017
2017-02-01,disapprove,46.480389,2017
2017-02-02,approve,43.539711,2017
2017-02-02,disapprove,47.592009,2017
2017-01-31,approve,43.948636,2017
2017-01-31,disapprove,45.76658,2017
2017-02-02,approve,46.651563,2017
2017-02-02,disapprove,45.980389,2017
2017-02-01,approve,47.608387,2017
2017-02-01,disapprove,48.626013,2017
2017-01-31,approve,46.608485,2017
2017-01-31,disapprove,49.209337,2017
2017-02-01,approve,43.861441,2017
2017-02-01,disapprove,50.539189,2017
2017-02-03,approve,46.251563,2017
2017-02-03,disapprove,46.280389,2017
2017-02-02,approve,43.727772,2017
2017-02-02,disapprove,51.495022,2017
2017-02-02,approve,48.608387,2017
2017-02-02,disapprove,47.626013,2017
2017-02-02,approve,43.861441,2017
2017-02-02,disapprove,50.539189,2017
2017-02-03,approve,44.861441,2017
2017-02-03,disapprove,48.539189,2017
2017-02-05,approve,43.613321,2017
2017-02-05,disapprove,51.248116,2017
2017-02-04,approve,46.551563,2017
2017-02-04,disapprove,46.280389,2017
2017-02-02,approve,41.37161,2017
2017-02-02,disapprove,47.419838,2017
2017-02-04,approve,47.686784,2017
2017-02-04,disapprove,44.055805,2017
2017-02-04,approve,43.948636,2017
2017-02-04,disapprove,48.76658,2017
2017-02-05,approve,48.851563,2017
2017-02-05,disapprove,45.380389,2017
2017-02-04,approve,43.743003,2017
2017-02-04,disapprove,44.945964,2017
2017-02-04,approve,42.861441,2017
2017-02-04,disapprove,51.539189,2017
2017-02-05,approve,47.608387,2017
2017-02-05,disapprove,48.626013,2017
2017-02-06,approve,48.451563,2017
2017-02-06,disapprove,46.080389,2017
2017-02-06,approve,43.750369,2017
2017-02-06,disapprove,49.742388,2017
2017-02-06,approve,47.608387,2017
2017-02-06,disapprove,48.626013,2017
2017-02-05,approve,42.861441,2017
2017-02-05,disapprove,50.539189,2017
2017-02-05,approve,43.948636,2017
2017-02-05,disapprove,47.76658,2017
2017-02-06,approve,44.19239,2017
2017-02-06,disapprove,49.503737,2017
2017-02-06,approve,41.948636,2017
2017-02-06,disapprove,49.76658,2017
2017-02-07,approve,48.851563,2017
2017-02-07,disapprove,46.180389,2017
2017-02-06,approve,42.861441,2017
2017-02-06,disapprove,52.539189,2017
2017-02-08,approve,48.851563,2017
2017-02-08,disapprove,46.180389,2017
2017-02-07,approve,47.608387,2017
2017-02-07,disapprove,48.626013,2017
2017-02-07,approve,41.948636,2017
2017-02-07,disapprove,49.76658,2017
2017-02-06,approve,46.768815,2017
