this file includes data on Harvard faculty.,,
Concentration,Professors M,Professors F
"Theater, Dance & Media",0,2
"Women, Gender, & Sexuality",1,5
History of Science,5,8
Romance Langs & Lits,6,9
Music,6,8
African & African American Studies,19,15
History,23,18
History of Art and Architecture,11,7
Psychology,11,7
Sociology,11,7
East Asian Langs & Civs,13,8
English,20,11
Religion,33,17
Celtic Langs & Lits,2,1
Human Evolutionary Biology,4,2
Slavic Langs & Lits,4,2
Statistics,6,3
Visual & Environmental Studies,7,3
Materials Science & Mech Eng,10,4
Folklore & Mythology,23,8
Computer Science,18,6
Philosophy,12,4
Germanic Langs & Lits,13,4
Comparative Literature,18,5
Government,26,7
Molecular & Cellular Biology,27,7
Organismic & Evolutionary Biology,27,7
Anthropology,16,4
South Asian Studies,10,2
The Classics,10,2
Stem Cell & Regenerative Biology,12,2
Applied Math,14,2
Electrical Eng,7,1
Social Studies,7,1
Physics,50,7
Chemistry & Chemical Biology,22,3
Earth & Planetary Sciences,22,3
Astronomy,15,2
Biomedical Engineering,15,2
Near Eastern Langs & Civs,11,1
Economics,40,3
Environmental Science & Eng,13,0
Linguistics,5,0
Math,19,0
